,deck_code,region_1,region_2,champion_1,champion_2,champion_3,champion_4,matches_played
122,CIBQCAICAMCACBIEC4VDCAQCAUAQIAQCAEBAEMIFAECQYFI6FAYAGAIBAIMAGAIFAMDRIAICAUEA,Ionia,Shadow Isles,Hecarim,Kalista,Maokai,None,136
123,CIBAEAQGAURQMAIFDIQCSMBRHIBAEAQGAEIQKAIFAEFR2KBWAEBACBIPDE,Bilgewater,Shadow Isles,None,None,None,None,134
124,CICAEAIDFY3QEAQDAMEQMAIFEQUCWMJVHAAQEBIBAIAQCAYEAIBAGAIHAEAQEBII,Noxus,Shadow Isles,Elise,Swain,Maokai,None,133
125,CIBAIAIEDMSC2NAIAIDAQCYUDIOCCLJ2AEBAEBQ5GEAA,Piltover & Zaun,Bilgewater,Ezreal,Twisted Fate,None,None,132
126,CIBAGAIFFAYTIBICAYCAQIBCFUBAGAIFCQOS4AYCAYJBYJQCAEBAMAQDAECQCDZW,Shadow Isles,Bilgewater,Thresh,Gangplank,None,None,131
127,CIBQGAIBAMLCEBIBAUPCQMBRGUBAEBIEAYBQCAQBA4BQCBILCYMQCAQFAEAA,Freljord,Shadow Isles,Kalista,Elise,None,None,130
128,CIBAQAIFBEHBAKBKFMYTIAICAUCAEAQBAIBDCBABAUBRIHJWAEAQCAQY,Shadow Isles,Ionia,Hecarim,Thresh,None,None,130
129,CIBQEAICBEMAIAIFC4UCUMIDAICQCBQJAIBACAQGGECACBIHCQKS6AIBAECQG,Ionia,Shadow Isles,Zed,Hecarim,None,None,129
130,CIBAGAIDCQTTOCIBAQAQYHBGE4UC2NBWAIAQCAZDAEAQIDIA,Noxus,Piltover & Zaun,Draven,Jinx,None,None,129
131,CIBAEAIEEQ2AIAQGBAFSALIDAQAQIHZHGAZQCAQEAYDAEBQCAQJBIHB2AA,Piltover & Zaun,Bilgewater,Ezreal,Gangplank,None,None,128
132,CIBAEAIBAQLAWAICAIDASDARCULSQLBSHEAACAIBAIYQ,Freljord,Ionia,Zed,None,None,None,127
133,CIBAGAIDAQPSCBYBAEBQWFQ6EYUTAAYBAEBTKAQBAECCUAICAEBAEAIBAMZQCAQBA4,Noxus,Freljord,Ashe,Sejuani,None,None,127
134,CIBQCAQGCYEACAABBEFRKGQ5E4VQEAQAAYEQEAQBAAUTGAICAAFACAICAADQ,Bilgewater,Demacia,Miss Fortune,Quinn,None,None,125
135,CIBAGAIDAQPSCCIBAEBQIBYLCYTCSKRQAIAQCAI6AEBACAQA,Noxus,Freljord,Ashe,Sejuani,None,None,125
136,CIBQCAQGCYDQCAABBELB2JRHFMBAEAAJBIBAGAIACUNCKAQCAADQQAA,Bilgewater,Demacia,Miss Fortune,Lucian,None,None,123
137,CIBQCAIDCQFACBABBQGRYJRHFAWTINQBAICAKAQBAEBSOAIBAQIQA,Noxus,Piltover & Zaun,Draven,Jinx,None,None,122
138,CIBASAIAAEEQWDA2DUVS2MYBAIAASAYCAECQGDYCAEAA6FIBAIAAOAA,Demacia,Shadow Isles,Garen,Fiora,None,None,122
139,CIBQCAIBCYBAEAICA4EQEBQFBAFRIFQ4EE5D4AICAIDBCFIA,Freljord,Bilgewater,Sejuani,Miss Fortune,None,None,121
140,CIBQIAIBBMLCMMAFAEBQIGA2D4QQCAQBAIBQCAIDGUBQCAIEDYVACAQBA4AA,Freljord,Noxus,Ashe,Sejuani,None,None,121
141,CIBQGAIBAQLCABQBAQEBSJZUGU5AEAQEA4EQEAICAQFAEAQBAIFACAIBAQNA,Freljord,Piltover & Zaun,Teemo,Sejuani,None,None,120
142,CIBQIAICAYERCOIEAEBQ6HRFF4BAEAYDAQBACAIDAIBQCAQCEYWAEAIBAMMQCAQCBI,Ionia,Noxus,Zed,None,None,None,120
143,CICAGAIBAMETEAICAEDQGAIDAQPC4BQCAMAQGBAHBAEQAAIBAEARI,Freljord,Noxus,Braum,Swain,None,None,119
144,CIBAGAIDAQPSCBQBAECAWFRGFEYAGAIBAM2QGAIBA4PCUAICAEBAEAQBAEAQGAICAEDQ,Noxus,Freljord,Ashe,Sejuani,None,None,117
145,CIBQKAQGBALCAJR2AUAQGAQPDYSSQAQCAMBQIAQBAEBS6AICAYWQA,Bilgewater,Noxus,Miss Fortune,Gangplank,None,None,115
146,CICACAIDAQBQEAYBA4EQIAIBAMCBMMQEAIAQCAQGA4AQEAQDAMEAA,Noxus,Freljord,Swain,Sejuani,None,None,114
147,CIBQCAQGCYEACAABBELB2JJGE4VQEAQABEFAGAICAYEACAIACUAQEAAHAEAQEAAI,Bilgewater,Demacia,Miss Fortune,Lucian,None,None,114
148,CIBQEAIBAQLACAQBA4EQEBQFBAIRIJBGHE5D2AQBAEAQKAICAYSQA,Freljord,Bilgewater,None,None,None,None,113
149,CIBAGAQFA4EAUBQCAYLSOLBPGU4AEAQCAYOSKBABAUAR2KBWAEAQEBQ6,Shadow Isles,Bilgewater,Maokai,Nautilus,None,None,111
150,CIBQKAIDAQMBUHZBAUAQCCYWDYTDAAICAEBAEAIBAM2QEAIBAQVACAIBAMZQ,Noxus,Freljord,Ashe,Sejuani,None,None,111
151,CIBQCAIDFYBQEAYDA4EQOAQGAQEAWGQ4EYWQEAIBAMCAEAQDAEEACAICAYJA,Noxus,Bilgewater,Swain,Twisted Fate,None,None,107
152,CIBQEAICAIUQEAQCAMEQMAIEDMPSIKZUHIBQCAIEAEBACAQEGEBAEAQBAUAA,Ionia,Piltover & Zaun,Karma,Ezreal,None,None,107
153,CIBQKAIEBAMRWNB2AQAQCBALCYQAGAQBAICQUAQBAECDKAICAEEAA,Piltover & Zaun,Freljord,Teemo,Sejuani,None,None,105
154,CIBQCAQGCYEACAABBEKRUHJHFMZQGAQAAMDASAIBAIAAOAICAEAAWEQ,Bilgewater,Demacia,Miss Fortune,Quinn,None,None,104
155,CIBQGAQGDIVS2BQBAQARYHZEFU2ACAQEBIBAEAQGA4EQGAIEBQTCOAA,Bilgewater,Piltover & Zaun,Twisted Fate,Ezreal,None,None,103
156,CIBAGAIEDMSDIBYCAYEAWGQ4EEWTUAQBAECC2AYCAYERIMICAEAQIHYBAICAM,Piltover & Zaun,Bilgewater,Ezreal,Twisted Fate,None,None,103
157,CICAEAICBQHQCAQCAUBQCAZEFY3QGAQDAEDQSAYBAEBTMBABAIBCKLRYAEBAECIBAEAQEMI,Ionia,Noxus,Yasuo,Swain,None,None,103
158,CICAIAICAIGCMOIFAECBAGZHGQ4AEAQCAEEQCAQEBAAQEAICEUYQA,Ionia,Piltover & Zaun,Heimerdinger,Vi,None,None,103
159,CIBAKAIBBQKBQJZJAYAQKAIPDUUDMNYCAEAQCFYBAECQIAQBAEATIAQBAUMSC,Freljord,Shadow Isles,Anivia,Tryndamere,None,None,103
160,CIBAEAQBAIDQWAQGAUEAWDIUDQQCCIRRHIAACAICAEEA,Freljord,Bilgewater,Sejuani,Gangplank,None,None,102
161,CIBAGAIEDMSDICICAYEAWEQ2DQQSMLJ2AEAQEBQ5AIAQCBA7AEBAMBA,Piltover & Zaun,Bilgewater,Ezreal,Twisted Fate,None,None,101
162,CIBAIAIDAMKCGJYIAECACDANDQTCOKBNAIAQCAYLAEAQINAA,Noxus,Piltover & Zaun,Draven,Jinx,None,None,100
163,CIBQGAIDAQPSCBYBAEBQWFQ6EYUTAAICAEBAEAQBAECCUAICAEDQCAIBAM2Q,Noxus,Freljord,Ashe,Sejuani,None,None,99
164,CIBAIAIDAQMB6IIFAEAQWFQ6EYYAGAIBAMNAGAIBAQVDEAICAEBAEAICAEDQEAIDGM2Q,Noxus,Freljord,Ashe,Sejuani,None,None,99
165,CIBAEAIEEQ2AUAQGAQEAWFA2DQQS2MJ2AIAQCBA3AEBAMHIA,Piltover & Zaun,Bilgewater,Ezreal,Twisted Fate,None,None,99
166,CIBAGAIFFA3DOCABAEBQYFAXDATSSMQCAEAQCCYCAECQ6HIBAEAQKAI,Shadow Isles,Freljord,Anivia,Tryndamere,None,None,99
167,CIBQEAIBAMRAOAIFA4FR4KBLGAYQGAQFAECAMAQBAECRSAICAEDQA,Freljord,Shadow Isles,Kalista,None,None,None,98
168,CIBAEAIBAQLAUAICAIDASDARCUUCYMRZAIAQCARRAEBAEBIA,Freljord,Ionia,Zed,None,None,None,97
169,CIBQEAIFDUUAEAQFBAFAKAQGDUTS6NJYAMBAEBRFFQBACBIZGYAQEBIHAIBACBJLFYAQEBID,Shadow Isles,Bilgewater,Maokai,Nautilus,None,None,96
170,CIBQMAIAAYHRUIJKGECQCAIIBEIBSNICAIAQGBYAAEAQEAAB,Demacia,Freljord,Lux,Braum,None,None,96
171,CIBAGAICA4JSABIBAAESKKZNGQBAMAIAAMFRKGQ5D4AQEAAFAEBACAAHEA,Ionia,Demacia,Shen,Fiora,None,None,96
172,CIBAIAIBAQLDAMQFAECA2JZIFU2AGAQBAEOR4AYBAQAQYJQBAICAMAIBAECBC,Freljord,Piltover & Zaun,Jinx,None,None,None,96
173,CICAIAIBAMDRMKIBAIAQOBIBAACAWGRLFUBAEAAJBIBACAQAAEAQEAICAA,Freljord,Demacia,Fiora,Sejuani,None,None,95
174,CICAEAIDDYXQGAQDAEDQQAQBAELC4BACAEAQEBQJAIAQCAJSAIBAGAYGAEAQEAYE,Noxus,Freljord,Swain,Sejuani,None,None,95
175,CIBQCAIBCYEQCAQCAYEQYEIUFQZDSAICAICQEAIBAI2ACAQBA4BACAIBAQBACARKGE,Freljord,Ionia,Zed,None,None,None,95
176,CIBAGAIDAQPSCBIBAEFRMJRJGABQCAIDGUCQCAIDAQDR4KQBAIAQEAQBAEAQCAIBAMZQ,Noxus,Freljord,Ashe,Sejuani,None,None,95
177,CIBQMAQGAQEBUHJGFUBACAZOG4CQEAYBAMDQQCIAAEAQEBQ4,Bilgewater,Noxus,Twisted Fate,Swain,None,None,94
178,CIBQMAIEBAIRYJZNGQCACBJGFAXTCAQCAUAQIAQBAECAYAICAQBQA,Piltover & Zaun,Shadow Isles,Teemo,None,None,None,93
178,CIBQMAIEBAIRYJZNGQCACBJGFAXTCAQCAUAQIAQBAECAYAICAQBQA,Piltover & Zaun,Shadow Isles,Teemo,None,None,None,93
179,CIAAABASAECQCAYPCQMRUHJBEMUCWMJSGQ2TMNZYAEBAKAISAEAQCAYEA4EQWEQUCYLRQHREEYUSUMBSAMBACAQGA4,Shadow Isles,Freljord,Thresh,Elise,Braum,Anivia,93
180,CIBQMAIEBAIRYJZNGQCACBJGFAXTCAQCAUAQIAQBAECAYAICAQBQA,Piltover & Zaun,Shadow Isles,Teemo,None,None,None,93
180,CIBQMAIEBAIRYJZNGQCACBJGFAXTCAQCAUAQIAQBAECAYAICAQBQA,Piltover & Zaun,Shadow Isles,Teemo,None,None,None,93
181,CIBQGAIDCQXDOAICAMEQQAIEAENR6JBHGE2DUAQBAEBRMAICAQDAA,Noxus,Piltover & Zaun,Draven,Ezreal,None,None,91
182,CIBQGAIDAQPSCBYBAECAWFQ6EYUTAAICAEBAEAIBAM2QEAIBA4VACAIBAMZQ,Noxus,Freljord,Ashe,Sejuani,None,None,91
183,CIBQGAQGCANCWCABAQAQYHBHFAWTINYBAICAGAQBAECBUAICAYDQA,Bilgewater,Piltover & Zaun,Twisted Fate,Jinx,None,None,91
184,CIBAGAIAEEVDEBIBAIAQEBBJGEBQCAQCAUDACAAPC4MBUKBQAEBAABIA,Demacia,Ionia,Lux,Karma,None,None,90
185,CIBAEAQDAEDQOAQGAQEAWGRNGI5AGAQCAYKBYAIBAMLAGAQDAMEASAIBAIDAY,Noxus,Bilgewater,Swain,Twisted Fate,None,None,90
186,CIBQIAIFAEBR2MIFAEAQGCIUDAZACAQBA4AQKAIFB4KCAKBLAA,Shadow Isles,Freljord,Braum,Anivia,None,None,89
