,deck_code,matches_played
221,CIBAMAIEDMPSIJZUHIDAEBQICQOB2LJOAEAQEBR5AEBAEBADAY,76
222,CIBQCAIBEIDQCBI5DYUCWMBRGUAQEBIEAMAQEAIHAIAQKBYLAEBAKAICAEAQCAYEAECQMDYZHE,76
223,CIBAQAIFBMHBAHRIFIYDCAICAUDAEBIBAUBQOEYUGYAQEBIEAEAQEBIB,76
224,CIBQKAQGCIRCWLJOAYAQICARD4TTINQBAICAMAICAIDAYHYA,76
225,CIBQCAIDCQEACBABDMRCMKZNGQ5AGAQEAEEASAQBAEBTGAIBAQOAA,76
226,CIAAEBYBAEDRMGREFYZDKCABAABQMCYSCQNB2JYCAQAQABYMFIWAMAIBBEKCAIRHFE,75
227,CIBQCAQGCYDACAABBELB2JZLAMBAACAJBIBACAQGBABQCAAVDITAEAIBAAUQCAQAA4,75
228,CIBAGAIDAMKCKCIBAQAQYHBGE4UC2NBXAIAQCAZHAEAQIDIA,75
229,CIBAIAIDAMKCGJYIAECACDA4EYTSQLJUAIAQCAYTAEAQIDIA,75
230,CIBQKAIDAQMBUHZBAUAQCCYWDYTDAAICAEBAEAIBAEVACAIDGUBQCAIDGMAQCAIEAEBACBY,74
231,CIBQCAIFAMEACAYIB4KB4JJGFAXQEAQDAQCQEAQBAMBBQAICAMBQCAIBAMXA,74
232,CIBQEAIDFY3QOAIFDYUCWMBRGU4AGAQFAECAMAQBAEBQ6AIBAUSAA,74
233,CIBQCAIBCYBQEAICAYDQOAQGAUEBKFRNHI7ACAYCAYFRIHABAEBAMMY,74
234,CIBAGAIEDMSDICICAYCAQCY2DQQS2MJ2AIAQCBA7AEBAMFAA,74
235,CIBAMAQGAQJB2IBCFUDQCBIBCQOSQKZRGQAACAICAYEA,74
236,CIBQEAIDAQQQOAIBAMFRMHRGFEYACAQBAIAQIAIBAQDSUMQBAIAQGMZV,74
237,CIBAGAIDAQPSCBYBAEBQOCYWEYUTAAYBAEBTKAQBAEPCUAICAEBAEAIBAEAQCAIDGM,73
238,CIBQGAIFFAXDMBQCAYSSOLBPGU4AGAQFA4EAUAQBAECQ6AICAYOQA,73
239,CIBQGAQGCY5D4AYBAAER2KYDAIAAMCIKAMAQEBQIAMAQAFI2EUAQEAAHAIAQEBQFAIAQAKJT,73
240,CIBAEAIDD4QQOAIBAMDQWFRGFEYAGAQBAMCDKAYBAECB4KQBAIAQEAIBAEBTG,72
241,CIBQEAQGBALAKAIAAEER2JZLAMBAABQJBIBAEAIADIZQCAQAA4BACAQGHIBQCAAVEUUQ,72
242,CIBAGAIEDMSDICICAYCAQCYSDIOCCLJ2AIAQCBA7AEBAMFAA,72
243,CIBQCAIDAQBQEAYBA4EAOAQGAQEAWGRBE4WQEAIBAMLAEAQGCIYQCAICAYOA,72
244,CIBAIAIBAMFSSMAEAEBQIHZBFABQCAIDGUCACAIEDYTCUAQCAEBAOAICAEAQOKA,72
245,CIBAGAIDCQTTOCABAQGBYJRHFAWTMNYCAEAQIDICAEBQOGIBAEAQIAI,72
246,CIBQEAIBAMRAOAIFBMMR4KZQGE2QCAQFAYBQCAQBA4BACBIPCABAEBIBAQAA,71
247,CIBQCAIDFIAQEAYDAUAQKIBJFMYDCAQCAEBRQLQFAECQWFRIGU5AEAQBAMZTQAYBAUAQ6OI,71
248,CIBQIAIEDMPSINADAEBAEKJZAQBAEAIDAUEQCAYBAQASOOQBAEAQEMI,71
249,CIBAEAQBAIDQUAQGAUEAWDIUDQQCCIR2AEBAEBRNGEAA,70
250,CICAEAIBAMRACAQBAIDQCBI2DYUCWMBRHEBAEBIBAQAQEAIFAEMQA,70
251,CIBAKAIBAMERIGBSAUAQKAY5FAVTCAQBAIAQOBABAUAQ6FBWAA,70
252,CIBAEAIEGQ3AUAQGAQEAWGQ4EAQS2MJ2AIAQCBA7AEBAMEQA,69
253,CIBQEAQGBALAOAIAAEERMHJGE4VQEAQABEFAEAQBAAKRUAICAADQCAIBAAZQ,69
254,CIBAKAIBAMGBIGBSAUAQKAIUFAYTMAQBAEAR2BABAUBQ6HJAAA,69
255,CIBQEAIECE3AGAIDDYSSQAICAMCAEAQBAQTSQCABAMBAQDAPCQTCOLYBAIBAGBII,69
256,CIAAEBYBAMGA6EYXEYXDOCABAUAQKHJIFMZDKNQCAQAQKIRGFEYQMAIDAIEQ2KJLGM,69
257,CIBAEAIDAQQQOAIBAMDQWFRGFEYAGAQBAMPTKAYBAECB4KQBAIAQEAIBAIAQO,69
258,CIBAGAQFA4EAUBQCAYSSOLBPGU4ACBQBAUMR2KBLFY3ACAICAYOQ,69
259,CIBQGAIDAQPSCBIBAEFRMHRGGAAQEAICAMBACAYYGUBQCAIEFEVACAQBA4AQCAIDGM,69
