,deck_code,matches_played
52,CIBAIAIFDUUDCNAHAIDAICASEARCMLICAEAQKFABAIDAKAQBAIDBYAQBAUATM,346
53,CIBQIAIEDMPSINADAEBAEKJZAMBAEAYFBEBQEAIEAE5AEAICAQYQCAQCAEAA,329
54,CIBQMAIEBAMRWHZUHICACAIDAQQCUAYCAEBAOCQAAEAQCAJS,322
55,CIBQGAIDAITSQAICAMBQMAIEBQOCMJZNGQBAEAIDAMKAGAIEBAISQAA,321
56,CIBQEAIEBATQSAICAYEQYEIXEYYTEOIBAIBAUAQBAEBDAAIBAQ2AA,315
57,CIBAEAIDAQQQSAIBAQDQWFQ6EYUTAMQCAEAQGNICAEAQSKQBAEBACAQ,310
58,CICACAIEBAAQEBADA4AQEBQJBQIRIMRZAEBAEBICAQAQEFJMFY2ACAQCBIAA,309
59,CIBQIAIDCQMSONYHAECACDA4EYTSQLIBAICAGAICAECA2NYA,300
60,CIBQEAQGBALAMAIAAEERMHJHFMAQEAAKAICACAAVDISSMAQCAAEASAIBAIAAO,298
61,CIBQEAIEDM2ACAQEBADACBI5EEUDENJWAMAQCBBQAEBAIBQDAECQCMJYAIAQCBA7AIAQKDYZ,286
62,CIBQCAICFECQCBA3D4SCWNAEAIBACAYFBEBACAIEAECACAQCFYYTQAA,285
63,CIBAKAIECANTENBYA4AQAGA2EESSQKRPAEAQEAAHAIAQCBBRAEBAABI,272
64,CIBAEAQGCANAQAIEAEGBYJZIFU2DOAYBAECCMAICAQBQGAQGA4ESWAA,266
65,CICACAIEBAAQEBADBIAQEBQJBQIRIFJIFQYTEAICAICQAAIBAEBAE,264
66,CIBQGAQGCY5D4AYBAAER2KYDAIAAMCIKAMAQEBQIAMAQAFI2GMAQEAAHAIAQEBQFAIAQAJJJ,263
67,CIBQIAQGBEIBUKYHAECACDA4E4UDINYBAICAGAICAECBULIA,259
68,CIBQIAIEBAITINQGAEBQEDY6EUUC6AQCAMBQIAICAECB6JYA,258
69,CIBAGAIFB4UDMBQBAEBQYFAYE4UQEAIBAELQIAIFAEJRIHICAEAQCNACAECRSII,249
70,CIBAKAIFAMKCQMJUA4AQCAYHBMJB4JRSAEAQCAJKAEBACBIBB4,244
71,CIBQIAIFCQVTCNAFAEAAMDY2EEVAGAQAAEBASAIBAECSQAQBAECQCAICAACQ,243
72,CIBQCAIDFYBQEAYHBAEQMAIEDMPSIKZRGQBACAIDFMBQCBA2E45AEAIBAMLACAQDAE,239
73,CIBQEAIEBA5AGAICAIZDSBACAIAQGCIKAMAQCBA3AIAQEBBXAIBAEBIGAEBQCAQYFEYQ,239
